,title,rank,date,artist,url,region,chart,trend,streams,date_objects
25224198,Mon Amour - Remix,1,2021-12-31,"zzoilo, Aitana",https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R,Andorra,viral50,SAME_POSITION,,2021-12-31
25224199,DANCE CRIP,2,2021-12-31,Trueno,https://open.spotify.com/track/1kjs5eR4DMzyB0gm1Z8waV,Andorra,viral50,SAME_POSITION,,2021-12-31
25224200,Tacones Rojos,3,2021-12-31,Sebastian Yatra,https://open.spotify.com/track/0Be7sopyKMv8Y8npsUkax2,Andorra,viral50,SAME_POSITION,,2021-12-31
25224201,Cold Heart - PNAU Remix,4,2021-12-31,"Elton John, Dua Lipa",https://open.spotify.com/track/7rglLriMNBPAyuJOMGwi39,Andorra,viral50,MOVE_UP,,2021-12-31
25224202,Aquel Nap ZzZz,5,2021-12-31,Rauw Alejandro,https://open.spotify.com/track/5bQLsyTrUaMQRfr6whwGe5,Andorra,viral50,MOVE_DOWN,,2021-12-31
25224203,LA FAMA (with The Weeknd),6,2021-12-31,ROSALÍA,https://open.spotify.com/track/6dmXZ9B5HdFAyzHeTneYBK,Andorra,viral50,SAME_POSITION,,2021-12-31
25224204,No Te Deseo el Mal,7,2021-12-31,"Eladio Carrion, KAROL G",https://open.spotify.com/track/3HQxzXOb4p9pfpD5gP38D5,Andorra,viral50,MOVE_UP,,2021-12-31
25224205,El Incomprendido,8,2021-12-31,"Farruko, Victor Cardenas, Dj Adoni",https://open.spotify.com/track/2mL37yB3f3Lfy4iiXV02Qf,Andorra,viral50,MOVE_UP,,2021-12-31
25224206,INMORTALES,9,2021-12-31,Funzo & Baby Loud,https://open.spotify.com/track/4nVuhPrmtIO1m2hRrtxBlI,Andorra,viral50,MOVE_UP,,2021-12-31
25224207,Sabe,10,2021-12-31,"Nicki Nicole, Rauw Alejandro",https://open.spotify.com/track/0XYZhJIcwKNjd0tjbSXwaQ,Andorra,viral50,MOVE_UP,,2021-12-31
25224208,Do It To It,11,2021-12-31,"ACRAZE, Cherish",https://open.spotify.com/track/20on25jryn53hWghthWWW3,Andorra,viral50,MOVE_UP,,2021-12-31
25224209,Ateo,12,2021-12-31,"C. Tangana, Nathy Peluso",https://open.spotify.com/track/5xiAfKzE3mbxYbOkUZPR11,Andorra,viral50,MOVE_DOWN,,2021-12-31
25224210,love nwantiti (ah ah ah),13,2021-12-31,CKay,https://open.spotify.com/track/2Xr1dTzJee307rmrkt8c0g,Andorra,viral50,MOVE_UP,,2021-12-31
25224211,Pepas,14,2021-12-31,Farruko,https://open.spotify.com/track/2B4GHvToeLTOBB4QLzW3Ni,Andorra,viral50,NEW_ENTRY,,2021-12-31
25224212,abcdefu,15,2021-12-31,GAYLE,https://open.spotify.com/track/4fouWK6XVHhzl78KzQ1UjL,Andorra,viral50,MOVE_DOWN,,2021-12-31
25224213,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),16,2021-12-31,Tainy,https://open.spotify.com/track/4gzsuuZypVbxs0Af1LSZyB,Andorra,viral50,MOVE_DOWN,,2021-12-31
25224214,Colorín Colorado,17,2021-12-31,Justin Quiles,https://open.spotify.com/track/2YZDh5CecWx0qlFiTvqVQ9,Andorra,viral50,MOVE_UP,,2021-12-31
